timestamps,TP9,AF7,AF8,TP10,Right AUX
1718680472.294,-173.828,-753.418,-485.352,-167.480,0.000
1718680472.298,262.695,-281.738,-219.238,842.285,0.000
1718680472.301,225.098,350.586,51.758,690.430,0.000
1718680472.305,-231.934,-61.035,-268.555,-440.430,0.000
1718680472.309,-515.625,-887.207,-704.102,-1000.000,0.000
1718680472.313,-279.785,-500.000,-421.387,-364.746,0.000
1718680472.317,223.633,338.379,28.809,752.441,0.000
1718680472.321,0.000,294.922,-24.414,781.250,0.000
1718680472.325,0.000,-217.285,-333.984,-307.617,0.000
1718680472.329,0.000,-410.156,-450.684,-1000.000,0.000
1718680472.333,0.000,-315.918,-384.277,-431.641,0.000
1718680472.337,0.000,-214.844,-291.016,707.031,0.000
1718680472.341,0.000,-195.312,-245.605,836.914,0.000
1718680472.344,0.000,-263.184,-333.496,-133.301,0.000
1718680472.348,0.000,-323.730,-429.199,-995.117,0.000
1718680472.352,0.000,-620.605,-510.742,-616.211,0.000
1718680472.356,0.000,-656.738,-331.543,563.477,0.000
1718680472.360,0.000,161.621,56.641,863.770,0.000
1718680472.364,0.000,184.082,-136.230,18.555,0.000
1718680472.368,-494.141,-628.418,0.000,-931.152,0.000
1718680472.372,-438.965,-552.734,0.000,-750.000,0.000
1718680472.376,73.730,34.180,0.000,422.852,0.000
1718680472.380,345.215,39.062,0.000,934.570,0.000
1718680472.384,50.293,-276.367,0.000,149.902,0.000
1718680472.387,-480.957,-726.562,0.000,-887.695,0.000
1718680472.391,-482.422,-784.180,0.000,-822.754,0.000
1718680472.395,34.668,-431.641,0.000,291.504,0.000
1718680472.399,357.422,-587.891,0.000,947.754,0.000
1718680472.403,90.332,-312.012,0.000,327.148,0.000
1718680472.407,-481.445,-175.293,0.000,-820.801,0.000
1718680472.411,-538.574,-601.074,0.000,-932.617,0.000
1718680472.415,-64.941,-464.355,-237.305,108.887,0.000
1718680472.419,268.555,105.957,91.309,865.723,0.000
1718680472.423,109.863,186.035,36.621,418.457,0.000
1718680472.427,-426.758,-522.949,-420.410,-735.840,0.000
1718680472.430,-616.699,-937.500,-511.719,-1000.000,0.000
1718680472.434,-223.145,-792.969,-343.750,-135.742,0.000
1718680472.438,169.922,-572.266,-265.137,757.812,0.000
1718680472.442,54.199,-614.746,-351.562,413.086,0.000
1718680472.446,-490.723,-943.359,-574.219,-679.199,0.000
1718680472.450,-759.277,-1000.000,-525.879,-1000.000,0.000
1718680472.454,-416.992,-810.547,-375.488,-393.555,0.000
1718680472.458,43.945,-529.297,-276.855,611.816,0.000
1718680472.462,0.000,-267.578,-146.973,428.223,0.000
1718680472.466,0.000,-456.055,-351.562,-634.766,0.000
1718680472.469,0.000,-915.527,-585.938,-1000.000,0.000
1718680472.473,0.000,-968.750,-563.477,-514.648,0.000
1718680472.477,0.000,-440.430,-282.715,571.777,0.000
1718680472.481,0.000,-331.055,-256.836,570.801,0.000
1718680472.485,0.000,-770.020,-500.977,-465.332,0.000
1718680472.489,0.000,-992.676,-692.871,-1000.000,0.000
1718680472.493,0.000,-608.398,-473.145,-605.469,0.000
1718680472.497,0.000,183.105,-13.184,548.828,0.000
1718680472.501,0.000,393.555,52.734,735.840,0.000
1718680472.505,0.000,9.277,-245.117,-221.680,0.000
1718680472.509,-596.191,-363.281,0.000,-1000.000,0.000
1718680472.512,-407.715,-327.637,0.000,-642.578,0.000
1718680472.516,137.207,66.895,0.000,545.410,0.000
1718680472.520,297.852,230.469,0.000,865.234,0.000
1718680472.524,-49.805,160.156,0.000,-1.953,0.000
1718680472.528,-493.652,-312.988,0.000,-936.523,0.000
1718680472.532,-388.672,-680.176,0.000,-676.270,0.000
1718680472.536,130.859,-654.297,0.000,503.906,0.000
1718680472.540,337.891,265.625,0.000,938.477,0.000
1718680472.544,60.547,491.211,0.000,216.797,0.000
1718680472.548,-426.758,-349.121,0.000,-847.168,0.000
1718680472.551,-415.039,-451.172,0.000,-749.512,0.000
1718680472.555,96.680,118.652,-197.754,381.348,0.000
1718680472.559,395.996,404.297,-42.480,996.094,0.000
1718680472.563,190.918,-99.121,-375.000,443.848,0.000
1718680472.567,-352.539,-755.371,-622.070,-749.023,0.000
1718680472.571,-414.062,-707.520,-475.586,-786.621,0.000
1718680472.575,62.012,-395.020,-371.582,275.391,0.000
1718680472.579,417.969,-569.336,-481.445,979.004,0.000
1718680472.583,245.605,-335.449,-349.121,547.852,0.000
1718680472.587,-307.617,-88.867,-375.000,-680.664,0.000
1718680472.591,-424.316,-466.797,-541.016,-888.184,0.000
1718680472.594,-11.230,-387.695,-365.234,104.492,0.000
1718680472.598,390.625,254.883,-32.227,931.152,0.000
1718680472.602,289.551,432.129,-14.160,672.363,0.000
1718680472.606,-234.375,-188.477,-460.449,-526.367,0.000
1718680472.610,-446.289,-630.371,-557.129,-937.500,0.000
1718680472.614,-91.797,-232.422,-338.867,-63.477,0.000
1718680472.618,379.395,245.605,-164.062,877.930,0.000
1718680472.622,348.145,-68.359,-301.758,773.926,0.000
1718680472.626,-176.758,-834.473,-530.762,-392.578,0.000
1718680472.630,-481.445,-758.301,-482.910,-1000.000,0.000
1718680472.633,-166.016,-231.934,-375.488,-263.184,0.000
1718680472.637,360.840,-125.000,-297.363,813.965,0.000
1718680472.641,363.770,-38.086,-237.793,799.805,0.000
1718680472.645,-115.234,-33.203,-369.629,-281.738,0.000
1718680472.649,-450.195,-626.953,-583.984,-983.887,0.000
1718680472.653,-228.516,-779.297,-573.242,-392.090,0.000
1718680472.657,280.762,-124.023,-269.043,737.305,0.000
1718680472.661,359.863,-3.418,-234.863,875.488,0.000
1718680472.665,-71.289,-203.613,-419.922,-159.180,0.000
1718680472.669,-446.289,-812.988,-642.578,-973.633,0.000
1718680472.673,-303.711,-861.816,-545.898,-521.973,0.000
1718680472.676,204.590,49.805,-171.387,628.906,0.000
1718680472.680,399.902,268.066,-58.105,943.848,0.000
1718680472.684,48.340,-654.785,-530.273,102.051,0.000
1718680472.688,-458.008,-824.707,-601.074,-912.598,0.000
1718680472.692,-366.211,-310.059,-386.719,-661.133,0.000
1718680472.696,179.199,-122.559,-332.031,537.109,0.000
1718680472.700,400.879,-32.715,-245.117,968.262,0.000
1718680472.704,79.102,46.387,-231.934,213.867,0.000
1718680472.708,-422.852,-308.594,-455.566,-858.887,0.000
1718680472.712,-409.180,-674.805,-559.082,-743.164,0.000
1718680472.716,71.777,-646.973,-389.648,386.719,0.000
1718680472.719,382.812,-296.387,-305.176,966.797,0.000
1718680472.723,152.344,0.488,-272.949,382.324,0.000
1718680472.727,-372.559,-567.871,-558.105,-770.020,0.000
1718680472.731,-433.594,-938.477,-622.070,-844.238,0.000
1718680472.735,18.066,-204.102,-249.023,210.449,0.000
1718680472.739,375.000,263.672,-58.594,946.777,0.000
1718680472.743,212.891,-144.531,-292.969,520.020,0.000
1718680472.747,-355.469,-508.301,-505.859,-702.148,0.000
1718680472.751,-495.117,-565.430,-507.812,-937.012,0.000
1718680472.755,-49.805,-605.957,-433.105,81.543,0.000
1718680472.759,339.355,-297.363,-322.266,922.852,0.000
1718680472.762,225.586,-133.301,-307.617,619.141,0.000
1718680472.766,-291.992,-521.484,-475.098,-599.609,0.000
1718680472.770,-476.562,-648.926,-497.559,-1000.000,0.000
1718680472.774,-78.125,-845.215,-570.801,-58.105,0.000
1718680472.778,337.402,-364.258,-310.547,889.160,0.000
1718680472.782,266.113,270.020,-66.406,695.312,0.000
1718680472.786,-220.703,-213.867,-417.480,-460.449,0.000
1718680472.790,-511.719,-723.145,-563.477,-1000.000,0.000
1718680472.794,-212.891,-349.121,-354.004,-283.691,0.000
1718680472.798,299.316,182.129,-76.172,805.664,0.000
1718680472.802,324.219,110.840,-110.840,783.691,0.000
1718680472.805,-161.133,-260.254,-418.457,-330.078,0.000
1718680472.809,-517.090,-750.000,-570.801,-1000.000,0.000
1718680472.813,-272.949,-611.328,-438.965,-430.664,0.000
1718680472.817,269.043,-302.734,-338.867,731.445,0.000
1718680472.821,356.934,-602.539,-365.234,842.285,0.000
1718680472.825,-103.516,-264.160,-351.562,-193.848,0.000
1718680472.829,-492.188,-351.562,-473.633,-994.141,0.000
1718680472.833,-313.965,-647.461,-554.688,-550.781,0.000
1718680472.837,0.000,-156.738,-266.602,614.258,0.000
1718680472.841,0.000,411.133,68.848,898.926,0.000
1718680472.845,0.000,31.738,-220.703,19.043,0.000
1718680472.848,0.000,-792.480,-627.441,-933.105,0.000
1718680472.852,0.000,-639.648,-493.164,-673.340,0.000
1718680472.856,0.000,-239.258,-278.809,523.926,0.000
1718680472.860,0.000,-147.461,-252.441,951.660,0.000
1718680472.864,0.000,-664.062,-525.391,200.684,0.000
1718680472.868,0.000,-763.184,-525.879,-868.164,0.000
1718680472.872,0.000,-242.676,-340.820,-805.176,0.000
1718680472.876,0.000,-44.922,-294.434,350.098,0.000
1718680472.880,0.000,61.523,-135.742,932.617,0.000
1718680472.884,199.707,208.496,-56.152,312.012,0.000
1718680472.887,356.445,-99.609,-347.656,-806.152,0.000
1718680472.891,5.859,-541.016,-541.504,-840.820,0.000
1718680472.895,-453.125,-416.504,-331.543,234.375,0.000
1718680472.899,-371.094,104.492,-73.242,927.734,0.000
1718680472.903,165.039,-122.559,-285.645,459.961,0.000
1718680472.907,375.977,-766.602,-586.426,-720.703,0.000
1718680472.911,66.406,-923.340,-629.883,-940.918,0.000
1718680472.915,-452.637,-297.852,-324.707,41.992,0.000
1718680472.919,-424.316,55.176,-171.387,909.180,0.000
1718680472.923,86.426,-145.020,-311.035,591.797,0.000
1718680472.926,351.074,-329.590,-433.594,-624.512,0.000
1718680472.930,-519.043,-382.812,-442.871,-1000.000,0.000
