timestamps,TP9,AF7,AF8,TP10,Right AUX
1718676266.800,0.000,6.836,299.805,15.625,0.000
1718676266.804,0.000,-54.688,-243.652,-61.523,0.000
1718676266.808,0.000,-109.375,-833.984,-88.867,0.000
1718676266.812,0.000,-62.012,-570.312,-59.570,0.000
1718676266.816,0.000,10.254,185.547,17.578,0.000
1718676266.820,17.090,1.465,261.719,26.367,0.000
1718676266.824,-24.902,-67.383,-466.797,-52.734,0.000
1718676266.828,-41.504,-80.566,-750.488,-117.676,0.000
1718676266.832,-14.648,-48.828,-525.391,-90.820,0.000
1718676266.836,23.438,-15.137,-108.887,12.207,0.000
1718676266.840,11.230,-14.160,119.629,35.156,0.000
1718676266.844,-65.918,-50.293,-225.098,-36.621,0.000
1718676266.848,-89.355,-68.359,-622.559,-101.074,0.000
1718676266.851,-43.945,-67.871,-700.195,-70.801,0.000
1718676266.855,-5.371,-50.293,-464.844,30.762,0.000
1718676266.859,-8.789,12.695,171.387,40.527,0.000
1718676266.863,-42.969,-4.883,100.586,-30.273,0.000
1718676266.867,-67.383,-78.125,-643.066,-102.051,0.000
1718676266.871,-39.062,-66.406,-692.871,-62.988,0.000
1718676266.875,13.184,-0.977,-113.281,34.668,0.000
1718676266.879,4.883,24.902,257.324,0.488,0.000
1718676266.883,-35.156,-15.137,-49.316,-55.664,0.000
1718676266.887,-69.824,-73.242,-661.133,-113.770,0.000
1718676266.891,-39.062,-63.477,-739.258,-110.352,0.000
1718676266.895,16.602,-8.789,-284.180,-24.414,0.000
1718676266.899,7.324,-7.324,47.852,23.926,0.000
1718676266.903,-20.996,-30.762,-149.902,-12.695,0.000
1718676266.906,-48.340,-35.156,-504.883,-115.234,0.000
1718676266.910,-49.316,-45.410,-678.711,-108.398,0.000
1718676266.914,0.000,-17.090,-434.570,-9.766,0.000
1718676266.918,0.000,32.227,173.340,44.922,0.000
1718676266.922,0.000,16.113,197.266,1.953,0.000
1718676266.926,0.000,-50.781,-444.336,-89.844,0.000
1718676266.930,0.000,-73.730,-717.773,-94.727,0.000
1718676266.934,0.000,-34.180,-452.148,-30.273,0.000
1718676266.938,0.000,21.973,108.398,21.484,0.000
1718676266.942,0.000,4.883,93.750,-1.465,0.000
1718676266.946,0.000,-78.125,-646.973,-81.055,0.000
1718676266.950,0.000,-71.777,-816.895,-112.793,0.000
1718676266.953,0.000,-18.066,-415.527,-36.621,0.000
1718676266.957,0.000,19.043,122.070,35.645,0.000
1718676266.961,-20.508,19.531,224.609,16.113,0.000
1718676266.965,-56.641,-21.973,-240.723,-62.500,0.000
1718676266.969,-55.664,-62.988,-698.730,-114.746,0.000
1718676266.973,-16.602,-50.293,-584.473,-58.105,0.000
1718676266.977,22.949,5.371,71.777,32.227,0.000
1718676266.981,13.672,11.719,182.129,27.832,0.000
1718676266.985,-24.902,-27.344,-304.688,-59.570,0.000
1718676266.989,-45.410,-77.637,-787.109,-110.840,0.000
1718676266.993,-14.648,-63.965,-695.312,-63.477,0.000
1718676266.996,21.484,23.926,-79.102,12.695,0.000
1718676267.000,8.301,44.922,217.773,15.625,0.000
1718676267.004,-36.133,-17.578,-269.043,-52.734,0.000
1718676267.008,-66.895,-57.129,-730.957,-116.211,0.000
1718676267.012,-23.926,-22.461,-549.316,-76.660,0.000
1718676267.016,41.992,22.949,-71.777,25.879,0.000
1718676267.020,36.133,27.344,124.512,47.363,0.000
1718676267.024,-36.133,2.930,-39.062,-38.086,0.000
1718676267.028,-87.891,-53.711,-620.605,-120.117,0.000
1718676267.032,-55.176,-70.801,-791.016,-83.008,0.000
1718676267.035,-10.254,-17.090,-196.777,0.977,0.000
1718676267.039,6.836,32.227,308.105,22.949,0.000
1718676267.043,-36.133,-0.977,104.492,-45.898,0.000
1718676267.047,-72.266,-64.453,-573.242,-110.840,0.000
1718676267.051,-44.434,-64.453,-700.684,-73.730,0.000
1718676267.055,-2.930,1.953,-120.605,0.488,0.000
1718676267.059,4.883,34.180,311.035,44.922,0.000
1718676267.063,-33.691,-23.438,48.340,2.930,0.000
1718676267.066,-78.125,-70.312,-543.457,-92.285,0.000
1718676267.070,-73.242,-43.945,-625.977,-93.262,0.000
1718676267.074,-28.809,-12.207,-296.387,-12.207,0.000
1718676267.078,1.953,5.371,45.410,55.176,0.000
1718676267.082,-22.461,0.488,-14.160,7.324,0.000
1718676267.086,-62.012,-26.855,-415.527,-90.820,0.000
1718676267.090,-40.527,-55.176,-742.676,-95.703,0.000
1718676267.094,-5.859,-37.109,-583.984,-23.438,0.000
1718676267.098,4.883,21.973,114.258,43.945,0.000
1718676267.101,-35.645,25.879,249.023,5.371,0.000
1718676267.105,-74.707,-39.551,-384.766,-78.125,0.000
1718676267.109,-73.730,-76.660,-718.750,-105.469,0.000
1718676267.113,-43.945,-23.926,-420.410,-46.387,0.000
